学号	姓名	性别	专业	班级	高等数学	大学物理	程序设计	数据结构	线性代数	离散数学
2024400027	张娟	女	计算机科学与技术	计算机科学与技术1班	70.5	76.8	71	85.9	75	74
2024400028	杨霞	男	计算机科学与技术	计算机科学与技术1班	62.7	67.4	88.3	87.3	67.8	85.1
2024400029	侯桂英	男	计算机科学与技术	计算机科学与技术1班	68.9	85.8	75.7	82	70.9	83.2
2024400030	李慧	男	计算机科学与技术	计算机科学与技术1班	73.8	79.8	60.7	71	76.2	84.4
2024400031	袁洁	男	计算机科学与技术	计算机科学与技术1班	82.4	86.2	82.9	61.4	76.3	66.5
2024400032	周荣	女	计算机科学与技术	计算机科学与技术1班	83.9	80.6	80.2	70.2	83.2	75.9
2024400033	李芳	男	计算机科学与技术	计算机科学与技术1班	65.9	69.5	73.7	67.5	78.5	72
2024400034	翟柳	男	计算机科学与技术	计算机科学与技术1班	68.1	65.3	62.5	85.6	74.2	76.6
2024400035	蒋柳	女	计算机科学与技术	计算机科学与技术1班	86.9	69.8	65.6	73.8	71.5	60.8
2024400036	翟雪	女	计算机科学与技术	计算机科学与技术1班	73	70.7	86.8	67.8	80.4	71.6
2024400037	孙婷婷	男	计算机科学与技术	计算机科学与技术1班	76.3	83.8	91.9	65.3	81.1	85.8
2024400038	商春梅	女	计算机科学与技术	计算机科学与技术1班	76.6	77.6	82.9	66.9	76.6	75.7
2024400039	赵亮	女	计算机科学与技术	计算机科学与技术1班	69.7	78.4	87.1	68.3	65.4	87.5
2024400040	熊宁	女	计算机科学与技术	计算机科学与技术1班	66.4	73.4	73	87.1	67.6	73.1
2024400041	苏小红	男	计算机科学与技术	计算机科学与技术1班	76.6	76.9	64.5	68.4	90.5	85.5
2024400042	张雪	女	计算机科学与技术	计算机科学与技术1班	81	73.9	76	78.8	89.6	68.3
2024400043	魏丽丽	女	计算机科学与技术	计算机科学与技术1班	75.9	78.1	64.3	84.2	74.9	60.4
2024400044	纪辉	女	计算机科学与技术	计算机科学与技术1班	77.9	77	62.4	66.5	77.7	63.1
2024400045	刘成	女	计算机科学与技术	计算机科学与技术1班	70.7	88.3	75.6	73.1	69.5	62.6
2024400046	汤海燕	男	计算机科学与技术	计算机科学与技术1班	75.8	94.2	66.2	83.9	62.2	62.1
2024400047	谢晶	男	计算机科学与技术	计算机科学与技术1班	61.7	75.1	70.2	77.2	69.7	65.5
2024400048	张婷婷	男	计算机科学与技术	计算机科学与技术1班	73.7	77.8	79.2	80.5	78.6	78
2024400049	尹文	女	计算机科学与技术	计算机科学与技术1班	81.7	70.7	60.3	75.3	72.1	74.4
2024400050	陈丹丹	女	计算机科学与技术	计算机科学与技术1班	77.7	67.6	67.6	67.6	81	86.6
2024400051	叶建华	女	计算机科学与技术	计算机科学与技术2班	72	80.9	77.2	79.9	68.1	69.4
2024400052	陈坤	男	计算机科学与技术	计算机科学与技术2班	90.9	72.5	78.6	71.5	62.9	74.4
2024400053	孟凯	男	计算机科学与技术	计算机科学与技术2班	83.1	83.7	81.8	79.1	66.2	67.4
2024400054	黄玉	女	计算机科学与技术	计算机科学与技术2班	73.3	86	69.5	68.8	64.4	78.4
2024400055	王桂芳	女	计算机科学与技术	计算机科学与技术2班	81.7	94.3	72.5	60.6	70.9	67.3
2024400056	翁丹丹	男	计算机科学与技术	计算机科学与技术2班	78.6	74.5	69.8	81.6	90.2	86.4
2024400057	刘秀华	女	计算机科学与技术	计算机科学与技术2班	71.3	60.1	70	70.4	71.9	69.2
2024400058	张林	女	计算机科学与技术	计算机科学与技术2班	78.3	75.8	75.6	89.6	67.4	61.9
2024400059	敖秀梅	男	计算机科学与技术	计算机科学与技术2班	61	79.1	67.7	65.9	74.4	68.8
2024400060	徐艳	女	计算机科学与技术	计算机科学与技术2班	74.9	65.6	65.4	73.6	72	79.8
2024400061	刘畅	女	计算机科学与技术	计算机科学与技术2班	77.4	90	86.2	63.2	67.1	75.9
2024400062	陈倩	女	计算机科学与技术	计算机科学与技术2班	75.4	72.2	77.3	84.8	61.6	74.7
2024400063	黄秀梅	男	计算机科学与技术	计算机科学与技术2班	75.5	78.1	70.1	65.9	89.7	70.9
2024400064	赵辉	男	计算机科学与技术	计算机科学与技术2班	64	73.1	76.5	77.9	66.5	79.8
2024400065	孙亮	男	计算机科学与技术	计算机科学与技术2班	73.1	64.1	84.2	97.8	73.1	75.6
2024400066	冉浩	女	计算机科学与技术	计算机科学与技术2班	85.9	76.8	93.3	84	73.3	86.2
2024400067	童霞	男	计算机科学与技术	计算机科学与技术2班	80.5	83.9	83.8	79.5	83.9	72.4
2024400068	宋雪	男	计算机科学与技术	计算机科学与技术2班	93.4	79.5	66.3	88.1	77.2	90.1
2024400069	李晶	男	计算机科学与技术	计算机科学与技术2班	79.2	64.1	83.5	78.4	77.2	72.6
2024400070	余楠	女	计算机科学与技术	计算机科学与技术2班	77.1	85.1	69.4	73.4	72.9	62.1
2024400071	范佳	女	计算机科学与技术	计算机科学与技术2班	80.2	69.5	80.8	74.9	67.6	73.2
2024400072	张玉梅	女	计算机科学与技术	计算机科学与技术2班	74.8	64.4	87.5	80.5	72.6	91.1
2024400073	陈瑜	男	计算机科学与技术	计算机科学与技术2班	80.1	98.9	84.6	73.3	81.8	74.5
2024400074	李婷婷	男	计算机科学与技术	计算机科学与技术2班	81.2	68	66.4	68.4	71.8	75.9
2024400075	杜淑英	男	计算机科学与技术	计算机科学与技术2班	70.2	74.2	80	85.3	65.7	70.3
2024400076	金玉英	女	计算机科学与技术	计算机科学与技术2班	73.7	83.1	75.3	69.2	85.5	62.5
2024400077	徐英	女	计算机科学与技术	计算机科学与技术2班	70.2	70.9	66.1	78	78.6	64.4
2024400078	王强	男	计算机科学与技术	计算机科学与技术2班	96	71.2	67.2	72.6	77.5	78
2024400079	李文	女	计算机科学与技术	计算机科学与技术2班	77.7	84.1	83.6	81.9	78.2	71.7
2024400080	沈芳	女	计算机科学与技术	计算机科学与技术2班	60.8	93.9	85	70.4	69.5	77.1
2024400081	熊慧	男	计算机科学与技术	计算机科学与技术2班	72.9	78.5	79.2	70.7	72.3	90.8
2024400082	贾秀梅	男	计算机科学与技术	计算机科学与技术2班	72.8	71.1	62.4	75.3	77.3	78.7
2024400083	黄凤英	女	计算机科学与技术	计算机科学与技术2班	91.2	85	61.5	84.5	73.8	71.2
2024400084	侯芳	男	计算机科学与技术	计算机科学与技术2班	82.2	71.3	78.8	87.9	61.3	77.5
2024400085	蔡建平	女	计算机科学与技术	计算机科学与技术2班	78.4	88	69.4	68.5	76.5	71
2024400086	黄玉兰	女	计算机科学与技术	计算机科学与技术2班	66.7	81.5	80.4	75.1	72.6	79.9
2024400087	杨红霞	男	计算机科学与技术	计算机科学与技术2班	68.3	77.7	66.6	73.7	98.7	83.9
2024400088	胡华	男	计算机科学与技术	计算机科学与技术2班	69.6	78.9	70	62.5	74.6	78.5
2024400089	李刚	女	计算机科学与技术	计算机科学与技术2班	76.6	79.1	63.2	77	79.5	72.9
2024400090	张琳	女	计算机科学与技术	计算机科学与技术2班	76.1	72.9	69.6	82.6	68.9	66.1
2024400091	雷建平	女	计算机科学与技术	计算机科学与技术2班	70.4	75.8	67.3	80.6	83.8	98.6
2024400092	邢红	男	计算机科学与技术	计算机科学与技术2班	87.7	78	63.1	71.5	62.9	89.9
2024400093	任淑英	女	计算机科学与技术	计算机科学与技术2班	85.3	77.1	75	72.8	60.6	71.6
2024400094	林欣	女	计算机科学与技术	计算机科学与技术2班	85.5	64.4	79.7	86.8	71.8	78.9
2024400095	高晨	男	计算机科学与技术	计算机科学与技术2班	78.8	83.5	73.9	77	65.6	71.8
2024400096	张斌	女	计算机科学与技术	计算机科学与技术2班	74.7	81.7	78.2	83	60.9	75.2
2024400097	陈建华	男	计算机科学与技术	计算机科学与技术2班	69.2	87	78.5	95	65.9	72.6
2024400098	利丹丹	女	计算机科学与技术	计算机科学与技术2班	74.6	68.9	69	61.2	76.2	74.8
2024400099	但淑英	女	计算机科学与技术	计算机科学与技术2班	71.3	86.6	76.8	89.9	74.6	78.8
2024400100	康超	男	计算机科学与技术	计算机科学与技术2班	92	77.8	80.4	82.6	91.7	68.3
2024400101	马建华	女	软件工程	软件工程1班	67.1	71.3	78.4	80.4	99.3	87.2
2024400102	张辉	男	软件工程	软件工程1班	82.8	90.3	80.3	84.1	70.2	68.2
2024400103	张琳	男	软件工程	软件工程1班	76.1	72.2	68.5	92.1	89.4	62.6
2024400104	张建	女	软件工程	软件工程1班	68.8	79	77.2	84.5	74.5	68.7
2024400105	徐帅	女	软件工程	软件工程1班	86.4	71.3	75	81	63	70
2024400106	朱凯	女	软件工程	软件工程1班	62.7	77.5	76.9	89.8	60.2	74.8
2024400107	王强	女	软件工程	软件工程1班	65.8	78.8	74.8	75	86.3	88.7
2024400108	熊娟	男	软件工程	软件工程1班	63.9	85.6	72.2	79.3	87.5	73.9
2024400109	杨志强	男	软件工程	软件工程1班	82.4	78	71.5	92.6	69.2	71.9
2024400110	石亮	男	软件工程	软件工程1班	75.6	66.4	66.3	79.9	73.4	64.3
2024400111	田红梅	女	软件工程	软件工程1班	90	81	65.3	73.8	68.2	75.4
2024400112	曾晶	女	软件工程	软件工程1班	84.3	62.2	77.6	71.7	73.5	67.3
2024400113	成志强	女	软件工程	软件工程1班	85	65.1	71.2	81.5	79.9	79.4
2024400114	李玲	男	软件工程	软件工程1班	70.7	60.7	65.8	69.7	71.1	71.5
2024400115	杨瑜	女	软件工程	软件工程1班	87.9	83	69.8	72.9	67.5	62.5
2024400116	覃玉梅	男	软件工程	软件工程1班	87.4	68.1	84.6	65.3	71.1	87.2
2024400117	马阳	男	软件工程	软件工程1班	80.3	68.1	86	88.2	63.8	70.9
2024400118	丁玲	男	软件工程	软件工程1班	85.7	70.7	76.3	63	77.6	92.2
2024400119	周英	男	软件工程	软件工程1班	71.4	78.8	81.8	64	75.3	69.7
2024400120	夏淑兰	男	软件工程	软件工程1班	78.4	81.3	78.8	80	80.7	61.1
2024400121	周建华	女	软件工程	软件工程1班	63.7	81.7	70.2	82.3	78.9	68.7
2024400122	王建国	女	软件工程	软件工程1班	84	93.1	90.8	78	64.6	75.1
2024400123	毛梅	男	软件工程	软件工程1班	74.7	86.3	69.6	73.3	83.4	70
2024400124	吴楠	男	软件工程	软件工程1班	81	74.5	67.4	88.6	82	81.9
2024400125	魏彬	男	软件工程	软件工程1班	74.1	79.4	68.6	70.7	81.7	71.7
2024400126	邓健	女	软件工程	软件工程1班	76.8	71.2	61.3	87.5	70.9	67.8
2024400127	蒋晶	女	软件工程	软件工程1班	76.4	76.5	60.6	96.1	77.5	72.9
2024400128	常利	男	软件工程	软件工程1班	66.2	73.6	75.6	62.6	74.3	72.8
2024400129	胡东	女	软件工程	软件工程1班	78.5	77.7	67.4	67.7	87.5	78.3
2024400130	廉晶	男	软件工程	软件工程1班	93	65.9	73.9	61.8	93.2	97.8
2024400131	田秀梅	男	软件工程	软件工程1班	79.1	80.2	82.5	79.3	73.2	76.7
2024400132	赵桂荣	男	软件工程	软件工程1班	81.4	79.1	73.3	70	70.2	78.6
2024400133	蔡岩	男	软件工程	软件工程1班	62.2	85.8	67.9	74.7	74.4	69.1
2024400134	沈雷	男	软件工程	软件工程1班	69.3	76.9	69.8	69.7	84.5	71.8
2024400135	王俊	男	软件工程	软件工程1班	78.8	75.6	77.6	77.4	85.4	79.1
2024400136	周桂兰	女	软件工程	软件工程1班	69.5	87.3	73.8	69.8	69	82.2
2024400137	胡颖	男	软件工程	软件工程1班	79.9	76.4	71.8	72.9	68.2	66.6
2024400138	王琴	男	软件工程	软件工程1班	71.8	72.9	75.5	84.7	72.5	79.6
2024400139	张玉兰	女	软件工程	软件工程1班	78.5	83.9	74	62.3	66.4	78.1
2024400140	陈文	女	软件工程	软件工程1班	81.4	69.4	70.6	83.9	70.6	65
2024400141	孔畅	女	软件工程	软件工程1班	65.5	99.7	71	85.3	78.5	63.7
2024400142	陈桂珍	女	软件工程	软件工程1班	85.2	86.4	63.4	62.8	67.1	80.5
2024400143	胡琴	男	软件工程	软件工程1班	85.3	75.6	68.8	82.1	76.6	71.3
2024400144	陈成	男	软件工程	软件工程1班	67.1	80.4	72.3	72.9	84.3	72.5
2024400145	马峰	女	软件工程	软件工程1班	67.4	67.9	81.9	75	66.8	84
2024400146	孙建华	女	软件工程	软件工程1班	71.1	82.8	86.6	68.3	67.7	78.5
2024400147	蔡丹	女	软件工程	软件工程1班	71.2	76.9	68.7	74.5	69.1	73.6
2024400148	黄玉英	女	软件工程	软件工程1班	68	70.9	66.5	70.1	80.6	81.8
2024400149	黄涛	男	软件工程	软件工程1班	91.5	79.1	89.8	82.3	74.7	80.8
2024400150	陈欣	男	软件工程	软件工程1班	76.3	77.7	65.9	83.4	63	78.3
2024400151	郭亮	男	软件工程	软件工程2班	64.9	73.7	76.1	93.8	70.9	82.6
2024400152	张彬	男	软件工程	软件工程2班	73.8	64.2	92.2	75.3	64.7	78.6
2024400153	王佳	女	软件工程	软件工程2班	62.5	78.4	74.9	86.4	63.7	70
2024400154	徐林	女	软件工程	软件工程2班	72.1	69.3	81.5	76.6	69.5	85.6
2024400155	金玉英	女	软件工程	软件工程2班	64.6	69.3	76.4	85.5	69.7	85.3
2024400156	谢丽娟	女	软件工程	软件工程2班	65.3	74.6	66.8	65.6	91.5	76.9
2024400157	骆东	女	软件工程	软件工程2班	76.5	89.9	86.3	66.2	82.6	78.5
2024400158	申俊	女	软件工程	软件工程2班	66.5	70.1	70.2	78.6	66.9	65.2
2024400159	孙辉	女	软件工程	软件工程2班	85.8	67.7	68.9	83.2	70	81.1
2024400160	戴桂芝	男	软件工程	软件工程2班	72.9	81.1	85.4	91.3	87.3	79.5
2024400161	方杨	女	软件工程	软件工程2班	85.8	69	79.2	78.6	70.8	62.5
2024400162	李晶	男	软件工程	软件工程2班	80.6	75.5	76	68.1	90.3	69.7
2024400163	温杰	男	软件工程	软件工程2班	85.6	64.3	89.1	68	85	72.4
2024400164	徐娟	女	软件工程	软件工程2班	78.7	71.3	80.8	68.8	70.3	68.9
2024400165	王帆	女	软件工程	软件工程2班	93.4	62.8	79.2	80.1	74.7	79.3
2024400166	王斌	女	软件工程	软件工程2班	82.5	73.6	80.1	80.7	81.8	82.8
2024400167	梁英	女	软件工程	软件工程2班	81.3	72.3	78.9	74.7	60.4	68.7
2024400168	赵俊	男	软件工程	软件工程2班	66.2	94	64.2	80.2	90.1	67.7
2024400169	刘颖	男	软件工程	软件工程2班	64	74.1	72.7	71.3	67.4	64.6
2024400170	徐玉英	女	软件工程	软件工程2班	65.1	79	64.9	85.2	83.4	62.9
2024400171	芦宁	男	软件工程	软件工程2班	74	62.5	67.5	87.1	66.8	76
2024400172	陈军	男	软件工程	软件工程2班	95.6	82.1	66.5	72.5	67.6	92.1
2024400173	崔桂芳	男	软件工程	软件工程2班	72.3	86.1	75.2	73.4	82.2	89.7
2024400174	杨洋	女	软件工程	软件工程2班	82.3	89.9	89.3	81.6	67.5	72.4
2024400175	周红	女	软件工程	软件工程2班	80.6	68.6	77.9	91.1	76.8	68.6
2024400176	谢辉	女	软件工程	软件工程2班	78.8	74.2	77.5	82.3	76.4	62.9
2024400177	萧英	男	软件工程	软件工程2班	68.1	83.5	74.7	93.9	92.7	62
2024400178	李超	女	软件工程	软件工程2班	83.8	81.9	81.8	68.9	71.5	67.1
2024400179	刘淑华	女	软件工程	软件工程2班	74.2	76	67.8	94.6	96.8	72
2024400180	许海燕	女	软件工程	软件工程2班	80.7	64.6	76	70.8	76.3	91.5
2024400181	李玉兰	女	软件工程	软件工程2班	81.9	71.6	87.6	65.7	89.2	73.4
2024400182	童成	男	软件工程	软件工程2班	87.5	76.9	70.8	76.7	76.9	68.9
2024400183	孙阳	男	软件工程	软件工程2班	73.7	69.6	89.2	86.1	65.8	77.3
2024400184	张彬	男	软件工程	软件工程2班	82.5	83.7	76.2	69	78.5	67.1
2024400185	魏秀英	男	软件工程	软件工程2班	60.3	62.4	75.7	84.2	72.1	71.1
2024400186	骆红梅	男	软件工程	软件工程2班	65.3	84.6	73.8	81.8	93.5	64.8
2024400187	周慧	女	软件工程	软件工程2班	69	62.2	79	74.6	69.4	63.4
2024400188	徐雪	女	软件工程	软件工程2班	71.5	67.8	80.2	64.7	75.3	76.9
2024400189	陈欣	女	软件工程	软件工程2班	100	73	62.6	92.9	79.8	84.6
2024400190	王凤英	女	软件工程	软件工程2班	65.3	72	89.2	71.6	69.5	73.8
2024400191	王春梅	男	软件工程	软件工程2班	75.4	63.5	72	81.2	81	63.4
2024400192	李莹	女	软件工程	软件工程2班	65	77.1	81.1	68.9	72.2	78.6
2024400193	祝旭	男	软件工程	软件工程2班	79.1	68.5	86.7	80.5	75.2	86.2
2024400194	樊静	男	软件工程	软件工程2班	65.4	70.9	81.2	70.9	68.1	74.5
2024400195	龚萍	男	软件工程	软件工程2班	90.4	73	63.3	70.9	93.3	77
2024400196	王强	女	软件工程	软件工程2班	79.1	63.7	74	67.1	73.9	76.4
2024400197	黄阳	女	软件工程	软件工程2班	67.4	99	70	75.2	82.5	68.6
2024400198	李颖	女	软件工程	软件工程2班	84.3	83.5	85.8	86.8	79.5	84.7
2024400199	柳鹏	男	软件工程	软件工程2班	67.8	72.1	89.5	62.2	78.4	81
2024400200	金畅	男	软件工程	软件工程2班	94.9	83.9	84.9	76.3	95.6	71.7
2024400201	龙秀芳	男	电子信息工程	电子信息工程1班	78.1	65.1	64.4	77.1	67.6	80.1
2024400202	吴俊	女	电子信息工程	电子信息工程1班	67.7	77.8	69.6	65.8	74.5	74.6
2024400203	杨畅	男	电子信息工程	电子信息工程1班	93.5	68	71.7	75.3	63.2	70.8
2024400204	马佳	女	电子信息工程	电子信息工程1班	88.3	79.1	78.4	79.4	98.4	76.2
2024400205	黄明	女	电子信息工程	电子信息工程1班	62	77.2	60.8	70.5	79.3	81.4
2024400206	杨亮	男	电子信息工程	电子信息工程1班	73.3	74.5	87.2	71.1	97.8	79
2024400207	王桂英	男	电子信息工程	电子信息工程1班	77.9	66.5	74	74.4	66.8	81.5
2024400208	刘桂荣	男	电子信息工程	电子信息工程1班	70.6	86.9	63.1	72.2	72.4	82.8
2024400209	张龙	女	电子信息工程	电子信息工程1班	79.8	94	70.7	87.1	84.8	71.6
2024400210	李建	男	电子信息工程	电子信息工程1班	69	67.8	86.4	85	73.1	68.8
2024400211	佘林	女	电子信息工程	电子信息工程1班	76.6	87	65.4	81	69.6	94.3
2024400212	何斌	女	电子信息工程	电子信息工程1班	95.7	70.6	82.4	69.5	80.1	76.3
2024400213	杨亮	女	电子信息工程	电子信息工程1班	87.2	72.8	73.8	81.4	69.6	71.6
2024400214	姚桂花	女	电子信息工程	电子信息工程1班	80.6	74.5	75.5	67.3	68.2	64.7
2024400215	王杨	女	电子信息工程	电子信息工程1班	76.2	81	64.3	77.3	86.3	83.8
2024400216	魏荣	男	电子信息工程	电子信息工程1班	82.7	87.3	96.3	87.6	74.3	81.3
2024400217	郑晨	男	电子信息工程	电子信息工程1班	66	65	81.8	61.6	79.9	76.6
2024400218	蔡玉	女	电子信息工程	电子信息工程1班	70.3	83.7	69.1	80.6	76.3	85.6
2024400219	张玉梅	男	电子信息工程	电子信息工程1班	73.3	73.2	69.8	79.6	67.2	79.5
2024400220	郭宁	男	电子信息工程	电子信息工程1班	70.6	76.5	76.9	75.7	66.4	78.5
2024400221	张志强	男	电子信息工程	电子信息工程1班	82.3	65.7	83.1	72.1	81.2	63.1
2024400222	黄丽	男	电子信息工程	电子信息工程1班	67.4	74.2	72.8	87.4	69.7	82.1
2024400223	黄梅	女	电子信息工程	电子信息工程1班	74.9	87.9	71.1	80.7	67.5	62
2024400224	张军	女	电子信息工程	电子信息工程1班	70.9	70.7	73.9	85.2	73.2	71
2024400225	陈玉英	男	电子信息工程	电子信息工程1班	81.7	76.4	81.3	75.1	67.1	94
2024400226	刘琴	男	电子信息工程	电子信息工程1班	80.6	76.1	74.5	76.7	66.1	91.3
2024400227	侯俊	女	电子信息工程	电子信息工程1班	67.7	78.1	75.2	67.4	81.4	77.7
2024400228	徐超	女	电子信息工程	电子信息工程1班	80.1	79.1	72.2	94	68.5	66.3
2024400229	王霞	女	电子信息工程	电子信息工程1班	87	73.1	82.6	79	87	84.9
2024400230	刘红	男	电子信息工程	电子信息工程1班	88.6	68.4	70.4	71.1	71.7	78.6
2024400231	刘艳	女	电子信息工程	电子信息工程1班	78.1	75.1	77.8	79.8	76.9	85.1
2024400232	高红霞	女	电子信息工程	电子信息工程1班	67.2	74.2	93.1	62.7	72.1	62.1
2024400233	陈丹丹	男	电子信息工程	电子信息工程1班	79.3	65	70.6	85.5	75.9	73.4
2024400234	王强	女	电子信息工程	电子信息工程1班	61.4	72.7	78.1	71.8	68.2	76.7
2024400235	秦秀英	女	电子信息工程	电子信息工程1班	79.7	80.8	71.4	79.6	81.7	71.2
2024400236	张红	女	电子信息工程	电子信息工程1班	71.4	67.4	71.4	87.6	75.2	73.6
2024400237	钟玉兰	男	电子信息工程	电子信息工程1班	66.9	90	72	64.1	68.7	64.4
2024400238	曾旭	男	电子信息工程	电子信息工程1班	76.4	78.3	79.7	76.9	63.8	74
2024400239	袁明	男	电子信息工程	电子信息工程1班	84.7	83.5	83.7	62.7	84.8	78
2024400240	刘旭	女	电子信息工程	电子信息工程1班	92.1	76.6	65.7	62.9	73.4	86
2024400241	张旭	女	电子信息工程	电子信息工程1班	76.9	63.9	68.2	76.4	74.5	77.1
2024400242	张桂荣	女	电子信息工程	电子信息工程1班	85.5	84.2	92.6	75	70.4	74.3
2024400243	闵飞	男	电子信息工程	电子信息工程1班	76.7	79.3	93	73.5	71.4	77
2024400244	桑玉珍	女	电子信息工程	电子信息工程1班	68.9	90	86.2	83.3	63	62.8
2024400245	卓涛	女	电子信息工程	电子信息工程1班	83	81.5	62.5	84.5	81.1	84
2024400246	徐凤兰	女	电子信息工程	电子信息工程1班	79.1	89.8	77.5	76.3	63.1	74.4
2024400247	郑建平	男	电子信息工程	电子信息工程1班	86.1	81	61.9	86.8	71	77.7
2024400248	黄小红	男	电子信息工程	电子信息工程1班	84.8	61.5	77.2	79.9	70.8	68.8
2024400249	陈艳	女	电子信息工程	电子信息工程1班	79.6	65.3	82.3	70.5	78.9	72.6
2024400250	赵楠	女	电子信息工程	电子信息工程1班	81.3	85.2	77.6	66.9	98	79.2
2024400251	柯敏	女	电子信息工程	电子信息工程2班	68.4	77.6	62.9	81.8	83.4	77.1
2024400252	谢建国	女	电子信息工程	电子信息工程2班	74	62.6	70.2	81.2	94.1	61.3
2024400253	邹岩	男	电子信息工程	电子信息工程2班	80.6	92.3	82.6	78.3	71	76
2024400254	冯玉梅	男	电子信息工程	电子信息工程2班	72.6	71.5	99.1	80.1	69.7	74.5
2024400255	喻红霞	男	电子信息工程	电子信息工程2班	78.4	66.1	91.3	82.3	93.5	78.7
2024400256	殷秀珍	男	电子信息工程	电子信息工程2班	69.4	75.9	83.5	92.1	81.3	97.7
2024400257	蔡桂花	女	电子信息工程	电子信息工程2班	81.4	77.4	67.8	74.6	69.2	60.2
2024400258	谢博	男	电子信息工程	电子信息工程2班	80.1	71.1	67.1	80.7	71.2	78
2024400259	刘倩	女	电子信息工程	电子信息工程2班	88.1	80.9	67.5	63.3	71.9	69
2024400260	郭秀英	女	电子信息工程	电子信息工程2班	61.2	63.5	63.2	88.6	71.2	80.8
2024400261	王晨	男	电子信息工程	电子信息工程2班	91.2	83.8	74.6	77	66.4	72.6
2024400262	刘秀芳	女	电子信息工程	电子信息工程2班	80.1	62.9	85.6	74.8	67.1	67.5
2024400263	姜秀英	男	电子信息工程	电子信息工程2班	79.5	61.3	79	74.1	63.7	88.3
2024400264	傅燕	男	电子信息工程	电子信息工程2班	81.5	80.9	79.4	72	79.1	66.8
2024400265	王平	女	电子信息工程	电子信息工程2班	79.6	64.9	73	88.2	91.5	85.1
2024400266	周利	男	电子信息工程	电子信息工程2班	78.3	74.6	89.3	85.6	83.1	79.5
2024400267	刘云	男	电子信息工程	电子信息工程2班	66.2	74.9	73.9	61.1	66.5	82.6
2024400268	彭娜	女	电子信息工程	电子信息工程2班	87.4	74.8	85.8	72.1	63.1	86.5
2024400269	黄彬	女	电子信息工程	电子信息工程2班	74.3	70.2	62.9	82.3	76.5	67.9
2024400270	黎玉	男	电子信息工程	电子信息工程2班	77.1	74.5	72.3	84.3	60.9	70.3
2024400271	李明	男	电子信息工程	电子信息工程2班	69	66.1	67.3	72.5	82.3	85.6
2024400272	赵娜	女	电子信息工程	电子信息工程2班	64.1	73.4	63.1	75.4	71.3	67.4
2024400273	黄桂兰	女	电子信息工程	电子信息工程2班	97.2	85.1	67.1	95.4	76.4	72
2024400274	刘平	男	电子信息工程	电子信息工程2班	75.5	74.7	67.4	69.8	85.7	88.2
